,isHate,comment
0,0,cars cars cars cars
1,0,if they hide in the engine they would get killedthat is a stupid way they can smuggle into another country
2,0,build that wall deport them all
3,0,jon snow  the king in the north thank you for uploading this i have one small complaint he is only talking about deporting illegal immigrants not immigrants in general your title might mislead the less informed
4,0,stopping illegal immigration should have been done years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now  million illegals in america and soon it will become the united states of mexicobr br now im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster
5,0,only people to come in must be able to contribute to society not a drain on us must be able to support themselves with a trade we do not need people living off the rest of us
6,1,it bothers me when people say deportimg illegal immigrants will take all the workforce off the farms  completley false after he deports the wetbacks then he will get rid of foodstamps and then the niggers will go back to working on the farm like they used to do
7,0,whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged
8,0,during war discrimination is a military necessity when korematsus case reached the supreme court in october  the attorneys for the government pointed to the constitutional war powers of congress and the president the government argued that the military must take all steps necessary to wage war successfully in the view of president roosevelt the war department and general dewitt the internment of all japanese issei and nisei was a military necessity and assuming we were at war with isis then rounding up isis would not be racist on december   the supreme court decided  to uphold the conviction of korematsu the majority ruled only on his refusal to leave a prohibited military area and did not consider the constitutionality of the relocation camps justice hugo black writing for the majority fully accepted the views of general dewitt justice black also said that korematsu had not been forced from his home because of his race but because of the military urgency of the situation url  url 
9,0,ive been trying to figure out which common american voter is more uniformed republican or democrat for years democrats do any of you have the slightest clue that obama has deported more mexicans than any other president in history
10,0,take your issues shine it up turn it sideways and stick it straight up your money asses
11,0,he knows what hes doing he has a good heart he only wants the criminal illegal out not hard working families it appears that he will make sure they start the process to become citizens and not take united states as a joke
12,0,trump likes imigrants he does not like criminals take advantage of the us safe citys were they can just keep being criminals and not get in trouble
13,0,im all for more migrants from already developed countries so we get civilized people we dont anymore wild rd world migrants who burn down towns and cause crime and are low skilled eternally impoverished people we can certainly help rd world countries with donations and charity but we dont need to import their societies here
14,0,nice title i think you left out the word illegal
15,0,poor sound quality
16,0,translation were gonna deport the bad ones first then the good oneslater
17,0,its politic some of things he said he wont do it
18,0,i hate him
19,0,i dont hate trump anymore why because he fooled me and many others how senators would spend an arm probably both legs to get votes trump on the other hand used social media fb ig tw etc and few million dollars and won now hearing him now made sense for me he said what he had to say to win who wouldnt agree to deport the illegals that are doing bad im just glad he said the ones that have contribute to america would get chance to be legal heck yeah thanks trump i aint mad at cha anymore
20,1,no trump we want you to deport all illegal immigrants when i say all i mean all period
21,0,good job sweden more plz
22,0,good video
23,1,greeks do not want muslims greeks have been fighting islam for centuries greece i believe wont allow mosques to be built
24,0,this wont last for long
25,0,theres hope for europe yet
26,1,send these fucktards to canada our government accepts anybody regardles of theopinion of the working man who worked here all his life
27,0,they only looking for oil reserve not imigrant
28,0,about time is it not
29,0,excellent video thanks anthony brian
30,1,islam is a cancer get rid of it muhammad is a cross dressing pedophile
31,0,im one of the people that will truly give this man a chance but everyone here must be careful about this policy you can send all illegals back to where ever but just remember that black people will not be going back to your farmsplantations looking after your kids clean your houses falling in line with jim crow laws allowing are fellows men to be beaten shining your shoes and working for little or nothing slavery will not be making a come back last time white supremacy was fucking everything up you got the mlk attitude from black people you can best believe that if he starts fucking up you will get the malcolm x attitude this time by any means necessary
32,0,i live in sweden and have felt big effects in the society and specielly in the schoolsalot of the migrants in mu school have been trying to get sexual contact with kind who are  years younger its fucked up
33,0,thank god i agree hillary and obama wanted to bring more of these people just bc their rich ass have protection they dont have to live amongst them
34,0,they want to live as normal ppls in their own motherland but you western peoples bom their country to the stoneage where else they want to go
35,0,this is horrible absolutely horrible
36,0,thanks for sharing anthony well done why doesnt our media talk more about this does anyone really trust our media i dont lol
37,1,islam is not feminist nor is it a religion its a cult based on violence and terrorism apon others
38,1,muslims are parasites and vermin they need to be exterminated
39,0,this is so good to hear an american say this alot of you lot dont get this situation a big fat thank you my friend
40,1,very good a beautiful ghift  swedish take back your sweden she belongs to you dear friends refugees out from europe
41,0,good for you sweden about fucking time
42,0,poor old man what did he do to deserve this whoever votes to take them in should lead by example and take them home
43,0,where are the mafiosos im sure they would love to use the jungle apes as targets
44,1,looks like the nazis before this is an invasion and the autoritys r collaborrating i woold blow up the place with everyone in if id been brought down like this i woold take anyone with me
45,0,this makes my blood boil
46,1,he should send a bill to the police department for the cost of damages  you know they shit on floor and left a big mess
47,1,get out of the eu italy vote to get the fuck out the eu is destroying your country are there no private property laws for italians who own property in italy can the italian govt just come in and take your private property and use it to house illegal immigrants this is all caused by italy membership in the eu vote to leave eu you are living in an insane asylum wake up
48,0,medical is free in italy
49,1,this was the most disgusting thing i have ever seen to come into a mans hotel like that and just take over is disgusting and to allow scum like those refugees to walk in eww go home u scum
50,0,if this is real would take up arms against the govt cheers from new zealand
51,1,proof that the government sucks these peoples dicks and give them anything they want i guarantee whats next theyll allow them to rape there daughters and after that the people of italy will be force to switch to islam or pay high consequences government will force this heed my words leave now 
52,0,he signed a contract with a backward government to house third world refugees what did he think he was going to get disabled european war veterans
53,0,if diversity is so great why is it being forced down the throat of this italian
54,0,not only the politicians are going into the wood chippers but also the police
55,1,bastards so you cant even own a property without the danger of government taking it
56,1,if they forced me to let them id let them in and make a big pot of welcome soup full of rat poison problem solved
57,0,whos the slave now luigi
58,1,we need to bring back fascism and concentration camps so that we can properly deal with this rat infestation
59,1,you has to kill all these globalists and politicians rise up with machete in hands and invade the eu and kill them all
60,0,this is how the mafia began the citizens got pushed too far and took matters into their own hands
61,0,pure example of a  goverment inside a goverment  poor man
62,0,yall need to chill the word alien isnt a racist term it may offend you but its not racist he probably used the alien in his video because he didnt want to keep saying immigrant all the time its like writing one of those research papers in school you have to go use a thesaurus to find better words for your other words so you dont repeat yourself over and over would you rather him use the word outsider or incomer on websites the term alien is the first synonym that pops up for immigrant because its already widely used but is still a good term that you dont say in a conversation note to all the people saying trump will fix this or build a wall that is not a good idea we dont need to piss off any more countries
63,0,im from venezuela and i want to be a canadian or american citezen be cose here in poor country our salary is  time lower then lower salary in canada for example is all about money i dont care what u think about imagrant i dont care what u religion is i want just work and get a car a house in my country i will spend  years to buy a car for example and those people who say why u dont stay and made u country a rich country nooooo idiot becasue your rich country made my country a poor country my dream is go to canada or usa and work i donk know driven a taxi why people is mad about imigrant because you are ass lazy thas why bye go immigrants the world has no borders
64,0,why do they even number these  when most are the same things ie dash trunk etc
65,0,damn daniel back at it again with the migration
66,0,hope donald trumo doesnt see this
67,0,bitch im proud to be mexican idc what anyone calls me
68,0,url   why are you showing rome italy talking about bali thats piazza di spagna via frattina is on the right
69,0,dude like every title is the same just like dont do titles when thats the case lol
70,0,why does this video keeps reminding me of donald trump
71,0,aliens thinks if aliens are real or not i thought aliens were fake oo does that make us aliens since americans are not allowed in some places
72,0,these are all the same how did they find them
73,0,aliens really mexicans are people too
74,0,subscribe to have a good day if you dont youll have  years of bad luck
75,0,aliens
76,0,hdidng in a trunk wowe thats currayyyyzeyyyy
77,0,the men all go to the length to get the military uniforms and everything but all have the same last name what the fuck
78,0,i was hoping for some crazy shit not all the places in a car you can hide
79,0,lmballso nice twist on the saaaaame ole sht hella times
80,0,they deserve it
81,0,what has this country come to  none of these people are accountable for their behaviour how can you attack someone like that when his family are there  i genuinely believe karma will catch up with these savage beasts 
82,1,these sandniggers need to die
83,1,animals
84,0,where is this
85,1,that stupid fat lady is in charge no wonder they got their country fucked
86,1,send the savages back home
87,0,this is why these people need to be deported they cant attack people for not supporting their views
88,1,he should have put some nigger brains on the pavement
89,1,he had a gun  why didnt he use it
90,0,wheres this
91,0,maybe we should give them sharia law impose it upon them ruthlessly as they want to do to us
92,0,support hillary clinton if you want this happen to you
93,0,teenage afghan immigrant is arrested in germany after the yearold daughter of a senior eu official was raped and murdered while out jogging maria ladenburger was found in a river in freiburg where she studied a single strand of hair was found and matched to the migrant suspect he was identified by a single strand of dyedblond hair at the scene according to police he has confessed and will go to court next year it has stoked anger against angela merkels opendoor immigration policy read more url  url  follow us mailonline on twitter  dailymail on facebook
94,1,the fat guy should have kept his rifle on him and as soon as one of those muslim scum bag terrorist steps into his property bang shoot that fucker in the head and say he was trespassing
95,0,the gun was a good idea i thought
96,1,fat white cunt
97,0,does someone say nazi scum at url   
98,1,they are not even muslims you fucking liar
99,1,support from bulgaria against muslim emigrants
100,0,cars cars cars cars
101,0,the read full transcript here link does not send me to a site with the full transcript
102,0,it wasnt the chief rabbi of israel it was a colonelrabbit and not in official capacity also he didnt say it directly he just implied that it might not be forbidden by the talmud not surprising since the source is  years old but zizek misses all the nuance for shock effect
103,0,agree with what hes said but what are the solutions to the problems hes pointed out migrants from different cultures wont place any legitimacy on progressive values if they are touted by western liberals the clear solution is to support a progressive version of islam  a change from within their own communities  as opposed to the salafism that the west has indirectly advocated for in its support for dictatorships in opposition to arab nationalist democracy in the middle east inb anyone pulls the blaming the west for everything card we have to realise that blame goes in every direction and no direction  it lies as much probably a bit more in the policies of arab royalty as it does in western powerholders
104,1,their way of life there should be no emphasis on this phrase what so ever we abide to universal principles of human rights and law that is blind to the origins wealth race etc and is designed to follow universal principles of right and wrong these are not some western culture specialties these are mankind achievements following the path of logic and instilling justice wherever they are applied common justice not some special western justice i object against the term western culture it is common culture that western countries managed to apply best the second we make any compromise is the second we succumb to savages following primitive tribal law mixed with religion they want to live in our society they must abide to its principles fully the division is there not because we dont respect their inferior culture there should be no respect at all from our side we are not emigrating to their lands only mindless socialists can think that every savage from desert tent is culturally our equal but because they dont respect our culture the culture of the land they emigrated to any country following their notion of justice that is not floating on oil is a shithole
105,0,this guy has a serious problem to express himself in a clear and straightforward way he speaks a lot but most of the time without a meaning or objective to conclude his thoughts and it is not a problem of his accent or just a intrinsic characteristic of philosophy
106,0,im no expert on this topic but ive tried to learn some and i just have one question which is in europe havent all crimes been going up like rape theft and beatings and violence towards gays the middle east has a very different set of dos and donts and they should have to abandon their old ways if theyre to live in a place that doesnt have the same
107,0,good thinking slavoj thanks for yet another explanation
108,0,url    only the poor countries are invaded by them refugees i wonder if this was just a slip of the tongue
109,0,pure ideology
110,0,
